body_bytes_sent,cached,date,http2,http_host,http_referer,http_user_agent,http_version,http_x_forwarded_for,renderer,request_completion,request_time,request_type,request_url,scheme,status,timestamp,type,user_ip
244,false,2025-10-18T13:55:48.071Z,,dobitybaterky.cz,https://dobitybaterky.cz/?hide_banners=true&preview=true&iframe=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,1.98,GET,/wp-json/jetpack/v4/scan,http,200,1760795748,nginx_json,37.188.218.236
2423,false,2025-10-18T13:55:47.035Z,,dobitybaterky.cz,https://dobitybaterky.cz/?hide_banners=true&preview=true&iframe=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,0.959,GET,/wp-json/wc/store/v1/cart,http,200,1760795747,nginx_json,37.188.218.236
16817,false,2025-10-18T13:55:45.585Z,,dobitybaterky.cz,https://dobitybaterky.cz/?hide_banners=true&preview=true&iframe=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,0.015,GET,/_static/??-eJylkt1uwjAMhV9owRsXwC6mPQrKjwfpkriyHSrefqG06oY0NLRLO+d8J3Yy9MZTUSwKuZo+1UMsAkPvKcsROtTe+s/9CUsgBluVslWNfj65mAt6jVQgRFFQbl0x3qZkXUJZdfI0/DOjmUYxCHtwNaZwNRsbcizGWb6tb1LnyAkI+1hmkLdMVTAtA02NVUP9HaMxYTCHNjXy+V71DdvcqQZsPIEjnZDjGGM6+UW0jPfQ3cTbsnhNobZbvIMYiNoyM7JHsCKoY7hQbQ1XRZF/FA+TPniUBSAOyKa9NUdXL19oQr3nt5ft5nm73ryud1+XiACS,http,200,1760795745,nginx_json,37.188.218.236
2631,false,2025-10-18T13:55:45.569Z,,dobitybaterky.cz,https://dobitybaterky.cz/?hide_banners=true&preview=true&iframe=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,static,OK,0,GET,/wp-content/plugins/dobity-baterky/assets/feedback.js?m=1760710107,http,200,1760795745,nginx_json,37.188.218.236
51520,false,2025-10-18T13:55:45.533Z,,dobitybaterky.cz,https://dobitybaterky.cz/?hide_banners=true&preview=true&iframe=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,0.022,GET,/_static/??-eJylVMty2zAM/KEybHNI2kOnn5IBQURCTZEaEpRGf1/IDjNJaiuOfBMg7IJYPObRYIpCUewYasex2DklTMNAGclCKSTFYuA1woWEBw1Ac/q6w1K+zTsYBo5sELI06H6qEfAAHRVTZAl0+4t2M2AtkvS/AcRU40WirqrpKHfWVQ7+BDeBXYa8NLIIE3cgnKLdrOsqMh5UoG2ez2XOyVcUc+TazfI2oDG6KpLidvuuKhPTRHm7zL8k67zYJ47YYKW6gpnHVexiJ6b5pleUhAxBvXE1NovKMIFANhR7iEj+hXYEEcpRJ7qHTH43nDxfHEKfHMtiHGjoYWnNeibyTvXZnXJLvXPDUd65TYAl1S9t4HuCG1Ifuyc9Df+RDNW88owaX/o2Rk8TRZ+yhaqLrxIwtj9GQcdgWzKqrCA1U7EBasT+ZeLPD8ft2U4tOdoGvN417XL+aH9RKZ3w6C/e6LNbNfNIF9M0xKAnIKgwenhTLRReK2qOawmEA3nTQQikq7hhXUsY+ECf7O9HyJyyB38SbBM4zmCeU9aevdVYverU8AE43mmfVvif4fePx4fvj/cPv+5//gOGtfc7,http,200,1760795745,nginx_json,37.188.218.236
64234,false,2025-10-18T13:55:45.260Z,,dobitybaterky.cz,https://wordpress.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,1.403,GET,/?hide_banners=true&preview=true&iframe=true,http,200,1760795745,nginx_json,37.188.218.236
25,false,2025-10-18T13:55:27.357Z,,dobitybaterky.cz,https://dobitybaterky.cz/wp-admin/admin.php?page=db-feedback,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,3.006,GET,/wp-admin/admin-ajax.php?action=rest-nonce,http,200,1760795727,nginx_json,37.188.218.236
129,false,2025-10-18T13:55:27.330Z,,dobitybaterky.cz,,WordPress.com; https://dobitybaterky.cz,HTTP/1.1,103.115.9.223,php,OK,1.162,POST,/wp-json/db/v1/nearby/worker,http,200,1760795727,nginx_json,103.115.9.223
129,false,2025-10-18T13:55:26.385Z,,dobitybaterky.cz,,WordPress.com; https://dobitybaterky.cz,HTTP/1.1,103.115.9.223,php,OK,1.199,POST,/wp-json/db/v1/nearby/worker,http,200,1760795726,nginx_json,103.115.9.223
17,false,2025-10-18T13:55:25.600Z,,dobitybaterky.cz,https://dobitybaterky.cz/wp-admin/admin.php?page=db-feedback,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0,HTTP/1.1,37.188.218.236,php,OK,1.237,GET,/wp-json/help-center/support-activity?_locale=user,http,200,1760795725,nginx_json,37.188.218.236
